config,method,tau,n_runs,pc_mean,pc_std,pc_sem,anc_mean,anc_std,anc_sem,success_rate
BA-localized,GNN-RL,0.5,100,0.24684480986639262,0.05853686100189909,0.005853686100189909,0.7933520043930673,0.025169127177718003,0.0025169127177718004,1.0
BA-localized,GNN-RL,1.0,100,0.2205960945529291,0.05549855734451227,0.005549855734451227,0.8142460942939893,0.02072016081978534,0.002072016081978534,1.0
BA-localized,GNN-RL,2.0,100,0.18406988694758478,0.05265417185042269,0.005265417185042269,0.8495491918372445,0.013755947170165353,0.0013755947170165353,1.0
BA-localized,GNN-RL,5.0,100,0.16708119218910586,0.0440556320516674,0.00440556320516674,0.8775331073309707,0.009215575652325487,0.0009215575652325487,1.0
BA-localized,GNN-RL,10.0,100,0.15253854059609456,0.041589744066999675,0.004158974406699967,0.8861329003425531,0.008724172263771979,0.0008724172263771979,1.0
BA-localized,GNN-RL,20.0,100,0.1436279547790339,0.0422674600032602,0.00422674600032602,0.8892929332248609,0.007647305579826334,0.0007647305579826333,1.0
BA-localized,GNN-RL,50.0,100,0.14041109969167523,0.036787617173381824,0.0036787617173381824,0.8919531885020026,0.007479440339747664,0.0007479440339747664,1.0
BA-localized,GNN-RL,100.0,100,0.14700924974306273,0.03659102495744326,0.0036591024957443262,0.8912800132440115,0.008207890783090236,0.0008207890783090236,1.0
WS-random,Adaptive TD,0.1,100,0.6834635149023639,0.12661490889719254,0.012661490889719254,0.6061215570265954,0.04084896261145725,0.004084896261145725,1.0
WS-random,Adaptive TD,0.2,100,0.6960020554984585,0.12040460941546845,0.012040460941546845,0.6013716338606512,0.03830310701881957,0.0038303107018819566,1.0
WS-random,Adaptive TD,0.5,100,0.6850565262076054,0.09916606547573396,0.009916606547573396,0.6060259411957517,0.03336446852546209,0.0033364468525462093,1.0
WS-random,Adaptive TD,1.0,100,0.6498869475847894,0.11039712905250193,0.011039712905250193,0.6162249945709888,0.0387570391596573,0.0038757039159657302,1.0
WS-random,Adaptive TD,2.0,100,0.6296300102774923,0.10937518166105162,0.010937518166105161,0.6280432554064782,0.0375843753589499,0.00375843753589499,1.0
WS-random,Adaptive TD,5.0,100,0.6433504624871531,0.1124877968258922,0.01124877968258922,0.6266320977064795,0.04287377510665124,0.004287377510665124,1.0
WS-random,Adaptive TD,10.0,100,0.6174409044193218,0.11950110619414142,0.011950110619414141,0.6404015353262086,0.0483006013683365,0.00483006013683365,1.0
WS-random,Adaptive TD,20.0,100,0.6030935251798561,0.12236015578379716,0.012236015578379717,0.6477912011267226,0.05007393767089571,0.005007393767089571,1.0
WS-random,Adaptive TD,50.0,100,0.5900102774922918,0.12017000921315311,0.012017000921315312,0.6527144693717111,0.05328139259534024,0.005328139259534024,1.0
WS-random,Adaptive TD,100.0,100,0.6128571428571429,0.10942423358717342,0.010942423358717342,0.6441315552635101,0.04465677583451258,0.004465677583451258,1.0
WS-random,Adaptive Katz,0.1,100,0.5990236382322713,0.12870320828314136,0.012870320828314135,0.6599282051636838,0.040962084032389656,0.004096208403238965,1.0
WS-random,Adaptive Katz,0.2,100,0.6099999999999999,0.1188234088097739,0.01188234088097739,0.6582861243700845,0.03827659371062529,0.0038276593710625294,1.0
WS-random,Adaptive Katz,0.5,100,0.6111408016443988,0.10443151234565817,0.010443151234565818,0.6580456476338292,0.03351465100399601,0.003351465100399601,1.0
WS-random,Adaptive Katz,1.0,100,0.5816546762589929,0.10956369572266439,0.01095636957226644,0.6705149880232851,0.03505599900570667,0.003505599900570667,1.0
WS-random,Adaptive Katz,2.0,100,0.5547995889003083,0.1135130650552892,0.01135130650552892,0.685974323001018,0.03828566988848088,0.003828566988848088,1.0
WS-random,Adaptive Katz,5.0,100,0.5680472764645426,0.10987021847190538,0.010987021847190538,0.6859730473545705,0.0399315432920205,0.00399315432920205,1.0
WS-random,Adaptive Katz,10.0,100,0.5460020554984584,0.11312934129503509,0.011312934129503509,0.6958552408916892,0.04209629092803074,0.004209629092803074,1.0
WS-random,Adaptive Katz,20.0,100,0.5287975334018501,0.12025293858397747,0.012025293858397746,0.7032106058609833,0.04556272375226125,0.0045562723752261254,1.0
WS-random,Adaptive Katz,50.0,100,0.5236896197327852,0.11162420052720531,0.011162420052720532,0.7050101472141149,0.041911545572136305,0.00419115455721363,1.0
